わたし,I
のりば,boarding area/platform/place to ride transport (taxi/ train/ etc.)
けん,prefecture (Japanese regional division)
うえ,on/above/over
した,under/below/beneath
まえ,front/before
うしろ,back/behind
みぎ,right (side)
ひだり,left (side)
なか,in/inside
そと,outside
となり,next/next door
ちかく,near/nearby
あいだ,between/among
〜や〜など,~ ~ and so on (gives partial examples)
どうもすみません,Thank you (used when someone has gone out of their way for you)
ナンプラー,nam pla (specifically Thai fish sauce)
コーナー,corner/section (in store or building)
いちばんした,the bottom/the lowest (lowest position or location)
います,have (a child)
こどもがいます,have a child
います,stay/be (in a place)
にほんにいます,be in Japan
かかります,take/cost (referring to time or money)
やすみます,take a day off (work)
かいしゃをやすみます,take a day off from work
ひとつ,one (used when counting things)
ふたつ,two
みっつ,three
よっつ,four
いつつ,five
むっつ,six
ななつ,seven
やっつ,eight
ここのつ,nine
とお,ten
いくつ,how many
ひとり,one person
ふたり,two people
〜にん,~ people
〜だい,~ counter for machines/cars (heavy things)
〜まい,~ counter for paper/stamps (light things)
〜かい,~ floor/times (counter for frequency)
りんご,apple
みかん,mandarin orange
サンドイッチ,sandwich
カレーライス,curry with rice
アイスクリーム,ice cream
きって,stamp
はがき,postcard
ふうとう,envelope
りょうしん,parents
きょうだい,siblings (brothers & sisters)
あに,elder brother (my own)
おにいさん,elder brother (someone else's)
あね,elder sister (my own)
おねえさん,elder sister (someone else's)
おとうと,younger brother (my own)
おとうとさん,younger brother (someone else's)
いもうと,younger sister (my own)
いもうとさん,younger sister (someone else's)
がいこく,foreign country
〜じかん,~ hours
〜しゅうかん,~ weeks
〜かげつ,~ months
〜ねん,~ years
〜ぐらい,~ about/approximately (duration of time, amount, quantity)
どのくらい,how long
ぜんぶで,in total
みんな,everyone
〜だけ,~only
ふなびん,sea mail
こうくうびん,airmail
エアメール,airmail
かしこまりました,Certainly/Understood (very polite customer-service expression)
いいおてんきですね,Nice weather isn't it? (common small-talk expression)
おでかけですか,Are you going out? (polite way to ask destination)
ちょっと〜まで,I'm just going to ~ (vague reply about destination)
いっていらっしゃい,See you later (said to someone leaving home)
いってまいります,See you later (said when leaving home)
かんたん［な］,easy/simple
ちかい,near
とおい,far
はやい,fast/early
おそい,slow/late
おおい,many (people)/much
ひとがおおい,many people
すくない,few (people)/a little
ひとがすくない,few people
あたたかい,warm
すずしい,cool
あまい,sweet
からい,spicy/hot (taste)
おもい,heavy
かるい,light
いい,prefer (coffee)
コーヒーがいい,I prefer coffee
きせつ,season
はる,spring
なつ,summer
あき,autumn/fall
ふゆ,winter
てんき,weather
あめ,rain/rainy (雨)
ゆき,snow/snowy
くもり,cloudy
ホテル,hotel
くうこう,airport
